"XBP1_expr","LTF_expr","GATA3_expr","AEBP1_expr","BHLHE40_expr","SPDEF_expr","ATF4_expr","YBX1_expr","EGR1_expr","FOS_expr","JUND_expr","JUNB_expr","FOXA1_expr","ZNF703_expr","JUN_expr","HMGA1_expr","NFE2L1_expr","SOX4_expr","TRPS1_expr","DRAP1_expr","CREB3L4_expr","SREBF1_expr","STAT1_expr","CENPB_expr","CREB3_expr","HMGN3_expr","ESR1_expr","GTF3A_expr","IRF6_expr","CEBPD_expr","HES1_expr","EHF_expr","ZNF146_expr","KLF6_expr","ZNF664_expr","CEBPB_expr","CXXC5_expr","SLC2A4RG_expr","STAT3_expr","IRX3_expr","ATF6B_expr","ZBTB7B_expr","CENPX_expr","SOX9_expr","REPIN1_expr","USF1_expr","HMG20B_expr","TFDP1_expr","PA2G4_expr","ZNF768_expr","XBP1_methylation","LTF_methylation","GATA3_methylation","AEBP1_methylation","BHLHE40_methylation","SPDEF_methylation","ATF4_methylation","YBX1_methylation","EGR1_methylation","FOS_methylation","JUND_methylation","JUNB_methylation","FOXA1_methylation","ZNF703_methylation","JUN_methylation","HMGA1_methylation","NFE2L1_methylation","SOX4_methylation","TRPS1_methylation","DRAP1_methylation","CREB3L4_methylation","SREBF1_methylation","STAT1_methylation","CENPB_methylation","CREB3_methylation","HMGN3_methylation","ESR1_methylation","GTF3A_methylation","IRF6_methylation","CEBPD_methylation","HES1_methylation","EHF_methylation","ZNF146_methylation","KLF6_methylation","ZNF664_methylation","CEBPB_methylation","CXXC5_methylation","SLC2A4RG_methylation","STAT3_methylation","IRX3_methylation","ATF6B_methylation","ZBTB7B_methylation","CENPX_methylation","SOX9_methylation","REPIN1_methylation","USF1_methylation","HMG20B_methylation","TFDP1_methylation","PA2G4_methylation","ZNF768_methylation"
2730.8416,49.3231,372.3317,857.7173,323.7739,512.4305,463.9749,349.7912,115.2021,85.4042,210.4165,375.8743,287.8648,186.5374,177.9511,180.7222,167.7457,129.2673,68.5955,161.9385,275.3658,214.323,307.781,197.5623,162.5445,186.1165,56.6592,119.0813,65.0215,110.9151,124.6264,127.4497,79.1722,59.0054,78.9489,124.908,48.4674,78.7984,126.2234,78.7442,108.238,119.2029,120.1396,69.6843,112.7851,173.2132,142.9188,76.2493,78.6801,82.8735,0.0390926387164169,0.395846882248061,0.120609151981556,0.408416176053427,0.0385482824462269,0.650054005112522,0.0682059496556349,0.0326012177758591,0.0505662981422637,0.0949089046162238,0.0366103471840948,0.0306267127346481,0.0712123513442106,0.0716554389206221,0.0499978160270827,0.164313007428303,0.107307307296255,0.0699440991311165,0.0612337482428768,0.240752129792933,0.0374162978518307,0.408483211686535,0.156447894088644,0.0770458030143022,0.0454748852701339,0.253533671060844,0.34005560714681,0.196315533289729,0.290296665212301,0.0341134253957866,0.0683514060436275,0.444809801956384,0.304117308593302,0.228270755441689,0.343599569918242,0.22699974593216,0.454385710227013,0.199880768695722,0.0509601677493826,0.17402545285588,0.313572743713188,0.159151933014367,0.0984081873153098,0.0445906408856713,0.146851322789048,0.177035725352448,0.203703224305788,0.730935389839629,0.0868415257716529,0.0566512128972036
186.9188,23.8649,8.4096,438.0628,153.4546,31.7515,723.5191,1275.5827,187.0144,77.4461,225.5168,140.77,2.5924,27.5485,243.8992,649.8874,184.6352,425.7921,260.9761,181.7634,79.823,93.8956,95.8142,131.3282,95.6294,270.2685,1.0508,131.3555,156.976,199.2298,139.7313,44.9768,257.1891,88.9378,193.1819,126.7475,54.604,50.1872,121.2794,21.3941,125.1467,42.325,64.0011,51.9076,92.7045,143.1266,108.9981,358.1552,107.4399,53.0923,0.0373581073881816,0.193143425726421,0.251894338278723,0.466033411922936,0.0503524625427719,0.685357512410246,0.0744818631846117,0.0315080788824494,0.0530540254173043,0.0489910181822917,0.0396608380012093,0.0386730341648085,0.0959815971721873,0.0309457947997052,0.048755224853391,0.179192951161251,0.102136482167248,0.0692975131625793,0.14819608392717,0.218353146554302,0.0476782395109656,0.368240780055405,0.173870600844801,0.0474304472211898,0.0634804451579011,0.227914208706685,0.332533734154681,0.160338900677762,0.266336003903966,0.045181659391715,0.0585353322061036,0.501523861715469,0.304469449760444,0.392981095651559,0.210276400872797,0.208030522744427,0.454638101244217,0.203343401579651,0.0566725592350189,0.235063626726974,0.301010649006264,0.261705874222644,0.07685450721075,0.0305635190353174,0.16677869045954,0.153515020225334,0.211809559892207,0.716281338289825,0.0956474341928088,0.0449574265911059
5600.3306,0.8023,1646.3857,62.9573,1550.8042,155.945,293.0095,170.7202,15.7623,14.754,213.5477,19.7621,334.0624,2586.0293,34.6403,53.8274,96.2559,56.3967,537.0967,52.3181,63.8263,95.7785,38.5024,62.4302,85.2955,33.8505,120.8171,85.0828,97.9729,15.3694,223.691,0.6711,117.8912,59.7439,179.9224,6.0475,67.8138,59.7851,72.2328,174.8506,78.3568,28.5512,47.8704,3.0429,57.1982,50.1606,37.1114,35.5815,80.1221,26.2423,0.048658785633473,0.50885087230146,0.0892314796731496,0.50631848865267,0.0622219678277758,0.490076518741931,0.0754771122552405,0.0392487498170714,0.0767513536135089,0.114966119344858,0.0531519985103828,0.042875619870316,0.0569600305122335,0.0593127180114524,0.0610447705573734,0.315924853656498,0.107670261521058,0.0870132771379768,0.149809038701754,0.262901576573353,0.0564831901988506,0.416299673954676,0.242039035754772,0.0452745223639185,0.0475014371750375,0.285040822828052,0.262637260280015,0.138217962705475,0.251921622823175,0.0548159451467493,0.0649340503095677,0.406411888543276,0.27774475232238,0.124480081514296,0.315947452187941,0.204988771518744,0.433692079844299,0.23930324677134,0.101136505803291,0.267528063419714,0.345316986001049,0.178488780454029,0.106008494971716,0.134509731240194,0.152854809739643,0.150708509830428,0.211898627559893,0.697540105402461,0.10264780535527,0.0666093865007974
4417.9372,41.38,415.8626,1246.401,434.4915,387.224,405.7127,227.777,504.9732,243.2451,189.0653,178.7026,248.9721,118.9699,228.8176,118.2066,160.3069,147.0028,280.71,111.5021,229.3798,887.8034,87.5824,112.8999,100.0458,129.6042,18.2036,143.2923,70.9068,77.3989,106.6387,41.701,130.8983,169.8822,155.498,110.4505,80.8892,41.1692,143.8844,154.359,91.9278,109.5414,63.6186,21.8875,76.2719,65.3996,64.8461,85.7383,98.18,63.9907,0.0267865618300958,0.153830570688205,0.139937966822943,0.447472219798191,0.0427732599634822,0.485177141076743,0.0528820130453795,0.0260115379124587,0.0434405331908295,0.0780896808757633,0.0351765585188849,0.0249047234638879,0.0482365821520191,0.0315186961318731,0.0393860835813822,0.183539066193625,0.0988067124838483,0.0527201527860803,0.124374679127393,0.196833574557379,0.03984278263233,0.260267950777318,0.193195957241624,0.0602205149239091,0.0576115526255402,0.239463556680881,0.174797053559887,0.139785101200755,0.242199369823407,0.0304708251110289,0.058125993729881,0.398518480113142,0.300880695541994,0.265172243644724,0.281075098896052,0.198616648680385,0.440936839665523,0.184495229625107,0.0480230994696965,0.0924887117116542,0.338899161004934,0.134646255332943,0.0902299518547663,0.0340624769792388,0.0980875918940752,0.167290231767284,0.178166187088566,0.742647420079041,0.0949135126109247,0.0378469759114705
2135.5061,196.3074,529.7646,418.765,290.866,212.3937,224.0257,154.4618,105.7697,85.3408,222.4718,163.3957,279.7279,101.9211,99.0507,62.0751,163.8903,92.2859,148.1149,85.3713,79.6033,62.3442,113.3682,139.9532,110.1202,107.3479,312.1886,70.5718,126.3161,25.6834,199.8014,160.3463,102.1046,68.2094,126.1281,58.6652,147.9043,84.5708,87.6653,112.4914,61.47,89.0498,23.1417,50.2869,54.3583,68.7365,48.4328,39.2429,80.5686,59.805,0.0271501198360987,0.269714747431101,0.176091378623173,0.599003463244186,0.034483003156083,0.622513158075254,0.0502309345153262,0.0237992262628893,0.0475650578474195,0.0548890082157807,0.0312414591698034,0.0201798349868566,0.0509936218014364,0.0434987483952021,0.0372295139016169,0.209487656062147,0.0881310213544372,0.0501697966083854,0.117824717918428,0.223062891409688,0.0331751943073299,0.414638463835611,0.195057810065602,0.048315738863134,0.0566458268231798,0.26122376867375,0.199551727324214,0.142553060349101,0.291989690105233,0.0244061175269095,0.0511161122358862,0.38800609683423,0.307781101291624,0.238726629237904,0.306879789471254,0.194402460249175,0.437792269220472,0.2645058107434,0.0455443248509965,0.162327970784415,0.233010494046524,0.125888582011471,0.097794478383914,0.0319419131924077,0.11463042158888,0.159186118182513,0.201295225644743,0.748586023034051,0.09809572573983,0.0370829272128029
2571.9334,14.9037,634.9253,734.1318,377.6744,570.653,258.9762,295.2195,472.3898,188.429,183.0985,243.3259,378.7843,97.3504,163.4426,525.8802,132.4794,146.521,233.2119,204.7085,203.0268,360.1431,138.9878,234.4341,171.4235,77.4732,199.562,114.5866,82.3053,48.6356,118.5372,176.6239,116.5971,106.5867,184.8546,172.5741,357.4691,66.5476,79.9561,65.7834,188.0928,162.1104,84.0051,81.8013,105.052,96.7041,122.5305,73.823,143.9629,69.7857,0.0273784414952708,0.484988225788881,0.113755430084334,0.609344405083136,0.0344542070810896,0.573914556920911,0.0566553606995052,0.0225536929389576,0.0408762524259978,0.089203283929678,0.031061546350564,0.0219823882096286,0.0580202327174444,0.0582898174646598,0.0365440322896259,0.14469719459608,0.131790448840505,0.0463086318953337,0.112832701784119,0.270420125959261,0.0363741602618658,0.410268283850494,0.200546020521053,0.0391405191634721,0.0395230296603242,0.243649180725187,0.278858333798428,0.155032817435574,0.295231126611807,0.0281715824693876,0.0514262125272077,0.336529865372534,0.260700333016404,0.213950028854782,0.39427366925108,0.188839290134852,0.43319820400259,0.270728919347914,0.0435819720129161,0.172111668586293,0.347220841583283,0.182418468511454,0.0967097670946064,0.0398710766905298,0.116407565970383,0.164399568943256,0.200463118952639,0.754440159820412,0.0904560619273893,0.0476683985761642
1739.542,244.4043,430.3732,642.7958,563.8269,270.5895,253.6533,256.5635,150.3855,92.2562,172.7274,160.9466,217.4234,220.032,90.2734,121.432,179.0984,106.1204,278.4535,91.0628,92.3968,319.1627,114.9479,159.6226,101.487,130.7573,183.3963,157.3903,50.4525,51.7684,88.9199,84.8968,110.3261,98.7194,106.4796,80.178,159.8531,96.6808,118.7772,93.1485,95.6751,80.2258,62.5745,42.5644,93.7316,77.5484,71.101,71.0366,85.3762,108.723,0.0389018317167047,0.224556627796423,0.147348193162801,0.402200581625733,0.0365742861146437,0.611109860585448,0.0545637119046477,0.025309854611787,0.0389497442030764,0.0787004212310527,0.0326864384302291,0.0234104591927793,0.0791847268167426,0.0598874543936763,0.041124137419992,0.227603026363965,0.134150792202983,0.0633165380948545,0.127379747732958,0.229435495609157,0.048133999563367,0.428387128498727,0.210473995692682,0.0274244782651007,0.0653026066192338,0.239253525811284,0.368408880202574,0.193376155580652,0.349326387345004,0.0334792441013857,0.0530862327333972,0.479983486417696,0.284545477129492,0.164931230174481,0.309035554181273,0.186368388470023,0.440719836756773,0.189194492270815,0.0445007340950415,0.16497370550147,0.339659136974716,0.1407175960102,0.0976398602237234,0.0350721256600146,0.141468584933273,0.163254964321718,0.202517736520075,0.749656725539757,0.0857952110434364,0.0449953779082918
165.3016,3829.527,52.6647,183.9868,124.9029,24.662,427.7131,495.4954,115.2655,16.4044,168.2257,157.4715,2.4743,10.2344,145.2756,1073.4296,229.253,598.4611,244.3843,77.2231,71.2679,73.2997,73.6056,198.0081,142.2989,227.2397,0.163,122.9221,147.8261,99.9148,55.9417,886.6756,134.4323,81.9933,87.5197,223.7383,13.2244,90.2216,264.0773,156.5441,225.8931,82.7068,42.5934,174.4668,39.5936,61.8063,79.1344,196.6707,101.7909,61.4401,0.02958975885829,0.0865144277419733,0.170857164520982,0.312647759850882,0.0329747510317398,0.475234667757235,0.0459249915882903,0.0249828910464218,0.03664433472954,0.0610315774247576,0.0316270840382537,0.0188819960528609,0.0381155418957606,0.0340254782608333,0.0419028122301734,0.0771414015224456,0.281747922147888,0.0537023793048083,0.118464239054605,0.197147555093598,0.0330204567506808,0.266145966550461,0.17058045272139,0.0318041155200081,0.0428752790237545,0.199755051462331,0.111945792844441,0.145175824118508,0.162135532271491,0.024504732600409,0.0519741727878655,0.0903416711932841,0.249400515765457,0.198843899232924,0.299093500685628,0.168459329761616,0.500194235655466,0.162525693368299,0.0434876146648737,0.139222498896326,0.180062097821831,0.247327088863753,0.083932387078364,0.0332850163704833,0.178392540588508,0.155508394518168,0.198160932488505,0.743572701552073,0.0737449905994442,0.0339849678669385
158.766,320.7429,52.7059,1740.647,282.3814,73.4379,609.2581,692.5571,187.241,209.7455,357.5859,393.4276,7.6081,92.9623,425.403,287.0529,189.5047,427.963,64.3771,151.5511,97.6109,130.57,86.8247,342.3258,144.3271,114.3098,0.6659,99.6736,65.592,184.4411,166.092,257.6698,94.9458,168.6992,70.7704,264.7666,36.5091,135.2063,113.1845,109.4416,111.2557,203.7336,124.5532,124.2682,69.4797,115.1554,85.6677,138.0205,73.7479,85.3169,0.0306598989160832,0.167605958877543,0.142686669907739,0.356629184802463,0.0387391884508163,0.608921617082641,0.0683897174381112,0.0270410937471993,0.0526052034857007,0.0612346014463371,0.0389933075378297,0.0256388115237664,0.0737458372420875,0.0642447335087767,0.0499356977023189,0.234451063957355,0.112832214337532,0.0540158004582653,0.125048813238401,0.189035948667994,0.0389016806808472,0.349547447869343,0.184343714668085,0.0474766337191303,0.047853488194038,0.264474264756515,0.330319232629921,0.155423901499111,0.335020777099268,0.0360817734179272,0.0990722058189671,0.696671491604817,0.265068479552348,0.10549834373268,0.234943443716196,0.196924916699605,0.467275708760214,0.18125300186424,0.0540950867925047,0.125984077795318,0.229168944123666,0.238187710892578,0.0943273681993014,0.0311337763929399,0.177272277374054,0.169545824706032,0.199566699529043,0.730641812964417,0.0849021433544764,0.0490957344202887
1616.262,3.1401,391.1941,1795.7801,291.2365,610.8227,268.3585,365.626,83.0772,91.2555,158.6414,150.8199,228.2434,336.4161,156.2512,284.7331,224.2408,172.7836,72.6279,285.1913,181.0233,56.6696,427.9744,168.9965,190.3379,116.7669,97.7229,114.1628,79.4926,23.1574,93.035,58.3723,88.1861,72.2045,95.5312,94.1241,189.6575,241.8874,76.8337,25.864,196.25,108.1069,243.1169,18.6241,173.4926,132.6655,141.6469,78.996,139.7424,121.3138,0.0427679988562627,0.463645135460555,0.16071567321291,0.600022488528518,0.0370097943898001,0.569851325858102,0.0363675660708053,0.0299277669743222,0.0403829748266077,0.090780086572425,0.0374358191420993,0.0248130598958405,0.0526537143871188,0.0422459906306309,0.0418675869967175,0.241043111728434,0.149076163661152,0.0686671279526989,0.128143653158037,0.237610022538006,0.0444334087281475,0.502636078466508,0.162602701197693,0.0367786660689886,0.0487464773103803,0.245555511709774,0.313043375927561,0.224161044592981,0.295525871533896,0.0257966602054142,0.051137087656158,0.39974971327734,0.29743311556925,0.192975715036732,0.307391671006348,0.199791168239061,0.467572884879314,0.168234401554777,0.0503041161746322,0.182930182081527,0.335982769925159,0.183824121411047,0.106219695519442,0.03722394726856,0.0905374448335172,0.187293451092864,0.201320776815747,0.732011146078977,0.086596989241294,0.04867739058513
