index,var_row,var_col,precision_abs_mean,precision_square_mean,cond_correlation_abs_mean,cond_correlation_square_mean,kld,iae
10,1,0,0.45041513442993164,0.25074881315231323,0.26916074752807617,0.08869487792253494,0.0693381279706955,0.10435253381729126
20,2,0,0.10795404016971588,0.017162341624498367,0.06903458386659622,0.007297356612980366,0.00846086349338293,0.03417763113975525
21,2,1,0.09800925105810165,0.012183263897895813,0.07932871580123901,0.007908624596893787,0.005180257372558117,0.030747486278414726
30,3,0,0.10561118274927139,0.014304127544164658,0.054791100323200226,0.0037266674917191267,0.004570511169731617,0.031580086797475815
31,3,1,0.2809790372848511,0.09973572194576263,0.19062626361846924,0.044073477387428284,0.018401609733700752,0.06237642094492912
32,3,2,0.09030017256736755,0.012516041286289692,0.06459470838308334,0.0063911909237504005,0.005295258481055498,0.02925650216639042
40,4,0,0.9729374051094055,1.4010508060455322,0.30511775612831116,0.1213836520910263,0.20625445246696472,0.18436947464942932
41,4,1,0.3819319009780884,0.18140731751918793,0.17266882956027985,0.03621847927570343,0.032178524881601334,0.0879463255405426
42,4,2,0.8094460368156433,0.6808761954307556,0.38461893796920776,0.15592876076698303,0.10134406387805939,0.13002964854240417
43,4,3,0.9618839621543884,1.0448455810546875,0.3930187523365021,0.17634828388690948,0.16512921452522278,0.1638590544462204
50,5,0,0.1620616465806961,0.033698197454214096,0.09820330888032913,0.012868481688201427,0.010147369466722012,0.03821823373436928
51,5,1,0.06232328340411186,0.0056654480285942554,0.048452332615852356,0.003441636683419347,0.0055251652374863625,0.021682215854525566
52,5,2,0.07750283926725388,0.009206599555909634,0.0626017227768898,0.006101061590015888,0.00927635096013546,0.03299594298005104
53,5,3,0.11534970998764038,0.018804192543029785,0.07625538110733032,0.008000603877007961,0.007760569918900728,0.03188905492424965
54,5,4,0.49685171246528625,0.2688799500465393,0.21903009712696075,0.05066664144396782,0.03337549790740013,0.08941412717103958
60,6,0,0.9993125796318054,1.1296027898788452,0.5247982740402222,0.288811057806015,0.15401725471019745,0.17331023514270782
61,6,1,0.1341318041086197,0.02811976708471775,0.09579186141490936,0.013918042182922363,0.007616512477397919,0.03960946202278137
62,6,2,0.1282440721988678,0.0196672473102808,0.09649480879306793,0.011165882460772991,0.005349052604287863,0.02792675979435444
63,6,3,0.06475987285375595,0.007059023249894381,0.04010266810655594,0.002542119240388274,0.0025351010262966156,0.02050834894180298
64,6,4,0.7804051041603088,0.9243018627166748,0.3043832778930664,0.1256066858768463,0.2423669993877411,0.18014158308506012
65,6,5,0.06347712129354477,0.008847281336784363,0.04430520534515381,0.00414107134565711,0.011934072710573673,0.0337536558508873
70,7,0,0.11173364520072937,0.016715245321393013,0.06303390860557556,0.005328223574906588,0.008797512389719486,0.033192720264196396
71,7,1,0.07518979907035828,0.00926175806671381,0.05319177359342575,0.004325272515416145,0.00392547994852066,0.023669512942433357
72,7,2,0.07404925674200058,0.007057873532176018,0.06038154289126396,0.004947022069245577,0.002763268304988742,0.020556116476655006
73,7,3,0.6767598390579224,0.6737518310546875,0.40554213523864746,0.20718403160572052,0.12589752674102783,0.12873350083827972
74,7,4,0.2162761241197586,0.09354908764362335,0.08927075564861298,0.012183865532279015,0.03134573996067047,0.056547652930021286
75,7,5,0.14489546418190002,0.026049593463540077,0.10288936644792557,0.012525128200650215,0.0041424003429710865,0.030894344672560692
76,7,6,0.16113360226154327,0.032677773386240005,0.11146540194749832,0.015417414717376232,0.005667590536177158,0.03569171577692032
80,8,0,2.283132553100586,5.479728698730469,0.5060300230979919,0.25907841324806213,0.49070608615875244,0.3014318346977234
81,8,1,0.7814275622367859,0.7250702381134033,0.23634521663188934,0.06579022109508514,0.0940605029463768,0.14796575903892517
82,8,2,1.1540940999984741,1.3563225269317627,0.3557637333869934,0.12764626741409302,0.24854058027267456,0.20678848028182983
83,8,3,2.0353035926818848,4.222700595855713,0.5358617901802063,0.2901035249233246,0.7132208347320557,0.30783897638320923
84,8,4,3.8163745403289795,19.65943717956543,0.6115992069244385,0.443512499332428,1.1149510145187378,0.37545526027679443
85,8,5,0.15206073224544525,0.04197968915104866,0.044423166662454605,0.0035173646174371243,0.024608099833130836,0.061707522720098495
86,8,6,1.4843037128448486,2.3889713287353516,0.39938703179359436,0.16347281634807587,0.4239584803581238,0.2534964978694916
87,8,7,0.9949845671653748,1.2776604890823364,0.2601422071456909,0.07770156860351562,0.20292526483535767,0.1631762683391571
90,9,0,0.7734403610229492,0.6407943367958069,0.296245276927948,0.0904444232583046,0.0544457882642746,0.10646583139896393
91,9,1,0.2092212438583374,0.05473225563764572,0.10869542509317398,0.014718884602189064,0.011300119571387768,0.04683555290102959
92,9,2,0.45429298281669617,0.22000224888324738,0.24172355234622955,0.061391279101371765,0.041842300444841385,0.0876811295747757
93,9,3,1.1151806116104126,1.2761671543121338,0.5118910670280457,0.2695840895175934,0.18561452627182007,0.19321632385253906
94,9,4,1.925277590751648,3.909817695617676,0.5769636034965515,0.3489430546760559,0.29863834381103516,0.23493772745132446
95,9,5,0.6615772843360901,0.4586913585662842,0.3337804675102234,0.11553792655467987,0.08126921206712723,0.10874367505311966
96,9,6,0.0954303964972496,0.01485327910631895,0.04541599750518799,0.0033506371546536684,0.005862518213689327,0.029024571180343628
97,9,7,0.14982421696186066,0.03751789778470993,0.06720210611820221,0.006629082374274731,0.008939431048929691,0.03458505496382713
98,9,8,3.684563636779785,13.961228370666504,0.7184781432151794,0.5178507566452026,1.178037166595459,0.36570096015930176
