index,var_row,var_col,precision_abs_mean,precision_square_mean,cond_correlation_abs_mean,cond_correlation_square_mean,kld,iae
5,1,0,0.367220401763916,0.15755613148212433,0.21872858703136444,0.05317217856645584,0.024698453024029732,0.06551004201173782
10,2,0,1.099776029586792,1.3271368741989136,0.5252357125282288,0.2879597842693329,0.19391998648643494,0.15963032841682434
11,2,1,0.7541027069091797,0.5779749751091003,0.487850159406662,0.24050940573215485,0.12733091413974762,0.14473776519298553
15,3,0,0.7434840202331543,0.5634384751319885,0.4255533218383789,0.181524857878685,0.09161011874675751,0.13257861137390137
16,3,1,0.06337769329547882,0.005874007940292358,0.04862768575549126,0.0035286354832351208,0.003653115127235651,0.0223501268774271
17,3,2,0.48555147647857666,0.28698238730430603,0.29176390171051025,0.10152735561132431,0.06563371419906616,0.09066789597272873
20,4,0,0.9960340857505798,1.0364797115325928,0.5789434313774109,0.3372265100479126,0.2016376405954361,0.18071003258228302
21,4,1,0.06713069975376129,0.005684024654328823,0.051708489656448364,0.0033083080779761076,-0.0001945214025909081,0.01812073402106762
22,4,2,0.6748698353767395,0.45821288228034973,0.4225764572620392,0.17920061945915222,0.09376788884401321,0.12413237243890762
23,4,3,0.03519940376281738,0.0016530483262613416,0.02604677714407444,0.0009174821898341179,0.0007910191197879612,0.009195804595947266
