index,var_row,var_col,precision_abs_mean,precision_square_mean,cond_correlation_abs_mean,cond_correlation_square_mean,kld,iae
5,1,0,0.08531994372606277,0.009726746939122677,0.053074438124895096,0.003674966050311923,0.0025756836403161287,0.018332239240407944
10,2,0,0.08106302469968796,0.009808860719203949,0.05615417659282684,0.004718045704066753,0.0034672461915761232,0.025182973593473434
11,2,1,0.049630653113126755,0.003392245387658477,0.03768784925341606,0.0019687023013830185,0.0018903027521446347,0.01638324372470379
15,3,0,0.422671377658844,0.26690220832824707,0.2466077357530594,0.08774629980325699,0.07210945338010788,0.0931306779384613
16,3,1,0.6015000343322754,0.36747613549232483,0.3931432068347931,0.1564861238002777,0.09902038425207138,0.13247834146022797
17,3,2,0.6262910962104797,0.39617034792900085,0.4490016996860504,0.20371446013450623,0.1103890985250473,0.13771161437034607
20,4,0,0.950865626335144,0.919884979724884,0.5879921913146973,0.3500727415084839,0.2126140594482422,0.18751731514930725
21,4,1,0.526286780834198,0.2822946608066559,0.3562553822994232,0.12946191430091858,0.06502806395292282,0.10723406076431274
22,4,2,0.0636649876832962,0.006385133136063814,0.04817287623882294,0.003767695277929306,0.001965571427717805,0.019913747906684875
23,4,3,0.2845582664012909,0.09962678700685501,0.18114931881427765,0.03998677060008049,0.022401297464966774,0.06499035656452179
