index,var_row,var_col,precision_abs_mean,precision_square_mean,cond_correlation_abs_mean,cond_correlation_square_mean,kld,iae
7,1,0,0.010803034529089928,0.00022608396830037236,0.008636350743472576,0.00015128670202102512,0.00027848032186739147,0.005213546566665173
14,2,0,0.8831118941307068,0.8031861782073975,0.5626999735832214,0.3213905096054077,0.17474476993083954,0.1666204333305359
15,2,1,0.07351122051477432,0.006522836163640022,0.0493130199611187,0.0029288914520293474,0.0002820777881424874,0.014284142293035984
21,3,0,0.05920993536710739,0.005691328551620245,0.04100930690765381,0.00262683373875916,0.001481194980442524,0.013200825080275536
22,3,1,0.4880445897579193,0.2399381399154663,0.36649200320243835,0.13480037450790405,0.06259841471910477,0.10466816276311874
23,3,2,0.15226638317108154,0.02740136720240116,0.0924590528011322,0.009824630804359913,0.0029730885289609432,0.022328970953822136
28,4,0,0.10239382833242416,0.011113396845757961,0.0616849847137928,0.003984211944043636,-0.00045031524496152997,0.016183815896511078
29,4,1,0.03704719990491867,0.0017081541009247303,0.02348347194492817,0.0006887909839861095,0.00043357632239349186,0.007292837370187044
30,4,2,0.6949395537376404,0.49279823899269104,0.36277952790260315,0.13416016101837158,0.06321367621421814,0.1084471195936203
31,4,3,0.41402456164360046,0.17457745969295502,0.2415284663438797,0.05921241641044617,0.04390336573123932,0.08247879892587662
35,5,0,0.04649652913212776,0.002511373721063137,0.03714228421449661,0.001648875419050455,0.000677316973451525,0.010921705514192581
36,5,1,0.07054164260625839,0.005430731922388077,0.058231450617313385,0.00371090741828084,0.0027377624064683914,0.015195059590041637
37,5,2,0.014232388697564602,0.00029824901139363647,0.009612360037863255,0.00013608815788757056,-1.1221086424484383e-06,0.004683057311922312
38,5,3,0.0659293457865715,0.005233730189502239,0.04945141077041626,0.0029148426838219166,0.0010446493979543447,0.016771139577031136
39,5,4,0.840758204460144,0.7135255932807922,0.5374075174331665,0.2907801866531372,0.1544216126203537,0.16742627322673798
42,6,0,0.7587112784385681,0.5903118848800659,0.37267857789993286,0.1408250331878662,0.08240465819835663,0.12067793309688568
43,6,1,0.8188615441322327,0.675469160079956,0.42275574803352356,0.17914831638336182,0.10002543777227402,0.13996928930282593
44,6,2,1.5003738403320312,2.2710862159729004,0.6370309591293335,0.4067743718624115,0.24471807479858398,0.20743055641651154
45,6,3,1.2180202007293701,1.5076375007629395,0.5771739482879639,0.33499208092689514,0.23742227256298065,0.19203637540340424
46,6,4,1.6582587957382202,2.767225503921509,0.664703905582428,0.4422966241836548,0.3041349947452545,0.22218641638755798
47,6,5,0.4646807014942169,0.2184743583202362,0.2420482486486435,0.059058815240859985,0.031110623851418495,0.07501830160617828
