index,var_row,var_col,precision_abs_mean,precision_square_mean,cond_correlation_abs_mean,cond_correlation_square_mean,kld,iae
10,1,0,0.4412138760089874,0.20209334790706635,0.28060510754585266,0.08073113858699799,0.044377781450748444,0.07913140952587128
20,2,0,0.06886565685272217,0.00657048262655735,0.050889767706394196,0.0035347214434295893,0.00271473522298038,0.02026594989001751
21,2,1,0.1688554883003235,0.037048667669296265,0.09724996984004974,0.012166714295744896,0.014327244833111763,0.04446085914969444
30,3,0,0.08854084461927414,0.012203570455312729,0.04934097081422806,0.003804516512900591,0.003696901723742485,0.029515594244003296
31,3,1,0.9091973900794983,0.8956207036972046,0.3863230049610138,0.15873461961746216,0.0924021303653717,0.13222168385982513
32,3,2,1.0608155727386475,1.173091173171997,0.5250864028930664,0.2815302610397339,0.16754268109798431,0.1719799041748047
40,4,0,0.11462828516960144,0.017351603135466576,0.08613217622041702,0.0098898159340024,0.009236262179911137,0.034881118685007095
41,4,1,0.6938572525978088,0.521266520023346,0.39288273453712463,0.16019181907176971,0.12025855481624603,0.14007335901260376
42,4,2,0.04323219880461693,0.0025481509510427713,0.029002923518419266,0.0011321066413074732,0.0012930799275636673,0.014397582970559597
43,4,3,0.20038878917694092,0.07285003364086151,0.09828275442123413,0.016947496682405472,0.031761284917593,0.07310269773006439
50,5,0,0.07320254296064377,0.007929579354822636,0.052951112389564514,0.004158373922109604,0.004532068036496639,0.025449685752391815
51,5,1,0.13367195427417755,0.025293489918112755,0.07420601695775986,0.007785604801028967,0.006848938297480345,0.038961295038461685
52,5,2,0.07526823878288269,0.007631609216332436,0.049095649272203445,0.003253939328715205,0.0036608856171369553,0.02419266849756241
53,5,3,0.6234223246574402,0.3959721624851227,0.2994646728038788,0.09091485291719437,0.056945838034152985,0.10869129747152328
54,5,4,0.15164846181869507,0.028673291206359863,0.0959089919924736,0.011187449097633362,0.0070599960163235664,0.035349491983652115
60,6,0,0.06319597363471985,0.005319579504430294,0.04845409095287323,0.0031145582906901836,0.004024496767669916,0.019555412232875824
61,6,1,0.13185442984104156,0.025108594447374344,0.07789826393127441,0.008571391925215721,0.007447986397892237,0.03640846163034439
62,6,2,0.055537156760692596,0.005210706032812595,0.0385005921125412,0.002472675871104002,-0.00027541728923097253,0.019845684990286827
63,6,3,0.7527174353599548,0.5751588940620422,0.3892854154109955,0.15463471412658691,0.09057847410440445,0.1325823813676834
64,6,4,0.06966753304004669,0.007738652639091015,0.04817737266421318,0.0036078053526580334,0.002309354254975915,0.025522982701659203
65,6,5,0.1024138405919075,0.01284653041511774,0.07002760469913483,0.006156929302960634,0.002420834731310606,0.019548675045371056
70,7,0,0.09857715666294098,0.012342316098511219,0.06458786875009537,0.005220166873186827,0.003112534061074257,0.025011839345097542
71,7,1,0.6778467893600464,0.5313538312911987,0.33697423338890076,0.12565264105796814,0.09009961038827896,0.12871053814888
72,7,2,0.11172414571046829,0.01993570476770401,0.06431955099105835,0.006109577137976885,0.004651406779885292,0.03347545117139816
73,7,3,0.924095094203949,0.9875065684318542,0.39489445090293884,0.17012575268745422,0.1565627008676529,0.15981166064739227
74,7,4,0.12591548264026642,0.037172943353652954,0.06995798647403717,0.009669660590589046,0.013320730067789555,0.040224768221378326
75,7,5,0.09146059304475784,0.012547330930829048,0.05360373109579086,0.0043409583158791065,0.00386818777769804,0.026996973901987076
76,7,6,0.045840974897146225,0.0032604439184069633,0.02821345441043377,0.0012105531059205532,0.003248559543862939,0.023909403011202812
80,8,0,0.2375268042087555,0.06331109255552292,0.11600301414728165,0.015258023515343666,0.015340731479227543,0.051804691553115845
81,8,1,1.1664693355560303,1.5213353633880615,0.43107548356056213,0.20174382627010345,0.16240552067756653,0.16389648616313934
82,8,2,0.34938910603523254,0.12491097301244736,0.15382927656173706,0.02415737695991993,0.01787424273788929,0.06506185978651047
83,8,3,0.712357759475708,0.5545960068702698,0.22965283691883087,0.057107891887426376,0.03815380856394768,0.09954701364040375
84,8,4,0.9099897742271423,0.8633352518081665,0.39551395177841187,0.16098254919052124,0.17455491423606873,0.16898134350776672
85,8,5,0.9406946301460266,0.9478803873062134,0.39061784744262695,0.1598438173532486,0.19956058263778687,0.16470551490783691
86,8,6,0.9986587762832642,1.0314990282058716,0.44986996054649353,0.20700617134571075,0.20014722645282745,0.18619288504123688
87,8,7,0.7403452396392822,0.5819953083992004,0.2872682213783264,0.08604699373245239,0.1098838746547699,0.12658952176570892
90,9,0,0.07012999802827835,0.008529099635779858,0.047605667263269424,0.003851304529234767,0.007052550558000803,0.0271742083132267
91,9,1,0.9484047889709473,0.9295457005500793,0.4946158230304718,0.24829159677028656,0.1384822577238083,0.15979620814323425
92,9,2,0.08352459967136383,0.009955840185284615,0.050480153411626816,0.0035436584148555994,0.003018717048689723,0.018798600882291794
93,9,3,0.08151540160179138,0.01079395692795515,0.03688226267695427,0.0021966099739074707,0.006369730457663536,0.031580448150634766
94,9,4,0.108017198741436,0.016762755811214447,0.06709035485982895,0.0065811690874397755,0.007475476711988449,0.027480721473693848
95,9,5,0.19519725441932678,0.050296735018491745,0.1126134917140007,0.016397766768932343,0.008028103969991207,0.040201522409915924
96,9,6,0.2391001284122467,0.08301778882741928,0.15360099077224731,0.034859202802181244,0.03625589981675148,0.06731253862380981
97,9,7,0.07390641421079636,0.008296297863125801,0.03869966045022011,0.0021345072891563177,1.0644546577509573e-08,0.01922919973731041
98,9,8,1.4391422271728516,2.09289813041687,0.5747177600860596,0.3316376507282257,0.30133742094039917,0.22751522064208984
