index,var_row,var_col,precision_abs_mean,precision_square_mean,cond_correlation_abs_mean,cond_correlation_square_mean,kld,iae
5,1,0,0.824863076210022,0.715192973613739,0.5291600823402405,0.28667140007019043,0.16033677756786346,0.16446900367736816
10,2,0,0.05016963183879852,0.0031044536735862494,0.03197252005338669,0.0012608410324901342,0.001128598814830184,0.011469113640487194
11,2,1,0.14190831780433655,0.0329430028796196,0.08719218522310257,0.012685258872807026,0.01232791505753994,0.04090793803334236
15,3,0,0.9681848883628845,0.9501029253005981,0.6431417465209961,0.41513267159461975,0.2319256067276001,0.20052924752235413
16,3,1,0.8797532916069031,0.8059185743331909,0.5517056584358215,0.31218233704566956,0.16907420754432678,0.1690039485692978
17,3,2,0.28970277309417725,0.08679985255002975,0.18031536042690277,0.03374557942152023,0.021034499630331993,0.05899902433156967
20,4,0,0.022655578330159187,0.0008717098971828818,0.015996232628822327,0.0004523575189523399,9.109333041124046e-05,0.008279570378363132
21,4,1,0.4232082962989807,0.18051710724830627,0.27541688084602356,0.07611282169818878,0.03821920230984688,0.08548462390899658
22,4,2,1.0381219387054443,1.0811651945114136,0.664512038230896,0.44200587272644043,0.24692802131175995,0.21561717987060547
23,4,3,0.05621730163693428,0.004683785140514374,0.03759227320551872,0.002104494022205472,0.0008796283509582281,0.014619266614317894
