index,var_row,var_col,precision_abs_mean,precision_square_mean,cond_correlation_abs_mean,cond_correlation_square_mean,kld,iae
5,1,0,0.09364227205514908,0.013528045266866684,0.06688561290502548,0.0064784768037498,0.0001472920412197709,0.02418079413473606
10,2,0,0.7664347290992737,0.6164358854293823,0.4780672788619995,0.2381254881620407,0.1226629689335823,0.1524648219347
11,2,1,0.6059103608131409,0.44115009903907776,0.3779917359352112,0.16013289988040924,0.08188671618700027,0.11823362112045288
15,3,0,0.9736582040786743,1.0493987798690796,0.5377219319343567,0.3051917254924774,0.2103469967842102,0.17407572269439697
16,3,1,0.7968501448631287,0.6953970789909363,0.4595347046852112,0.22300417721271515,0.11630257964134216,0.14704565703868866
17,3,2,1.0745192766189575,1.3382415771484375,0.5151143074035645,0.2877783477306366,0.21051307022571564,0.16934834420681
20,4,0,0.05470645800232887,0.004308918956667185,0.03830542787909508,0.002164222067221999,0.001326873549260199,0.01706795208156109
21,4,1,0.06524413079023361,0.007098661735653877,0.044852934777736664,0.003127744887024164,0.0010086032561957836,0.01913687027990818
22,4,2,0.7053512930870056,0.5054492354393005,0.42530199885368347,0.18170508742332458,0.11930038779973984,0.13439823687076569
23,4,3,0.6261455416679382,0.5095956325531006,0.3429345190525055,0.1510768085718155,0.09809987246990204,0.11597860604524612
