index,var_row,var_col,precision_abs_mean,precision_square_mean,cond_correlation_abs_mean,cond_correlation_square_mean,kld,iae
7,1,0,0.9015601277351379,0.8302966952323914,0.45947515964508057,0.21316948533058167,0.1013561263680458,0.1372622698545456
14,2,0,0.04828118160367012,0.003413790836930275,0.037135131657123566,0.0019236858934164047,0.0006598909385502338,0.013894776813685894
15,2,1,0.5112482905387878,0.26927584409713745,0.27745115756988525,0.07978891581296921,0.0581529401242733,0.10439592599868774
21,3,0,0.031035015359520912,0.001583404024131596,0.02329063042998314,0.0009184088557958603,0.0003945963690057397,0.012505032122135162
22,3,1,0.13230815529823303,0.025112807750701904,0.06634382158517838,0.006395089905709028,0.01030269917100668,0.039169102907180786
23,3,2,0.05144169181585312,0.003973175771534443,0.04060482606291771,0.0025079245679080486,0.0012207977706566453,0.017569268122315407
28,4,0,0.11982033401727676,0.026933472603559494,0.06697828322649002,0.007919819094240665,0.0054107592441141605,0.02854318730533123
29,4,1,0.9812251925468445,0.9949758648872375,0.38964569568634033,0.15457475185394287,0.07506787776947021,0.11975762248039246
30,4,2,0.1879809945821762,0.053112681955099106,0.11311552673578262,0.018509233370423317,0.00681661069393158,0.04240385442972183
31,4,3,0.9977768659591675,1.0467250347137451,0.5681350827217102,0.33011922240257263,0.17889054119586945,0.17193078994750977
35,5,0,0.03616649657487869,0.0021259640343487263,0.02557005174458027,0.0010041857603937387,0.0012479167198762298,0.013051413930952549
36,5,1,1.2129422426223755,1.4949932098388672,0.5937074422836304,0.35391876101493835,0.2146909534931183,0.1954088658094406
37,5,2,0.11795109510421753,0.016115251928567886,0.09003794938325882,0.009336309507489204,0.003634656546637416,0.027841242030262947
38,5,3,0.04456354305148125,0.004236996173858643,0.03260461986064911,0.002388599095866084,0.0060998727567493916,0.020173633471131325
39,5,4,0.698326587677002,0.5204668641090393,0.38902562856674194,0.15703649818897247,0.08163875341415405,0.1207832619547844
42,6,0,0.6785054802894592,0.5370760560035706,0.4735199213027954,0.24730859696865082,0.15589375793933868,0.15408429503440857
43,6,1,0.6863712072372437,0.506858229637146,0.33267197012901306,0.11720451712608337,0.05863567441701889,0.09700481593608856
44,6,2,0.05740979686379433,0.003866923041641712,0.04335441067814827,0.0021772650070488453,0.0012984398053959012,0.013935811817646027
45,6,3,0.13563263416290283,0.02395908161997795,0.09571075439453125,0.011838912032544613,0.0028939498588442802,0.031846798956394196
46,6,4,0.6896392107009888,0.5048015117645264,0.3917886018753052,0.1657862663269043,0.10844612866640091,0.12521116435527802
47,6,5,0.06087570637464523,0.00510061951354146,0.04307379946112633,0.0026416247710585594,0.0013464910443872213,0.01829349622130394
