index,var_row,var_col,precision_abs_mean,precision_square_mean,cond_correlation_abs_mean,cond_correlation_square_mean,kld,iae
7,1,0,0.47011566162109375,0.2274438440799713,0.34706950187683105,0.12434714287519455,0.04531938210129738,0.09208276867866516
14,2,0,0.02149512991309166,0.0007916241302154958,0.014894885011017323,0.0003583884099498391,1.0195308277616277e-05,0.008403457701206207
15,2,1,0.06679785996675491,0.006781106349080801,0.053300268948078156,0.004332109820097685,0.0036488857585936785,0.02099640853703022
21,3,0,0.5270608067512512,0.3392152786254883,0.37356245517730713,0.16035982966423035,0.08500299602746964,0.11528606712818146
22,3,1,0.06998457759618759,0.007071179803460836,0.0586947463452816,0.005021036136895418,0.00412461394444108,0.023338712751865387
23,3,2,0.09057443588972092,0.012438297271728516,0.06887290626764297,0.00674480339512229,0.0013818099396303296,0.024188097566366196
28,4,0,0.111121766269207,0.021672727540135384,0.07384293526411057,0.010466322302818298,0.011022637598216534,0.03748784214258194
29,4,1,0.4569458067417145,0.2156105786561966,0.32783055305480957,0.11066558957099915,0.046116720885038376,0.09958763420581818
30,4,2,0.619206964969635,0.44338056445121765,0.41412338614463806,0.1874060481786728,0.1344907432794571,0.13428045809268951
31,4,3,0.1652999073266983,0.031407590955495834,0.12004180997610092,0.01674363762140274,0.0075667439959943295,0.037964411079883575
35,5,0,0.04515926539897919,0.0030410881154239178,0.031489234417676926,0.0014778858749195933,0.0013542069355025887,0.013139949180185795
36,5,1,0.02191515453159809,0.0007050303393043578,0.01715991087257862,0.00043344582081772387,0.0005284184007905424,0.007695955224335194
37,5,2,0.05923814699053764,0.005409188102930784,0.0436239056289196,0.002736958209425211,0.003964604809880257,0.01759645901620388
38,5,3,0.08047053962945938,0.00720214331522584,0.06326543539762497,0.004452941007912159,0.0027583828195929527,0.018693864345550537
39,5,4,0.5175890326499939,0.272449254989624,0.348856657743454,0.12305483222007751,0.05648759379982948,0.0997912809252739
42,6,0,0.5508843064308167,0.3277396857738495,0.3679872155189514,0.1407710462808609,0.08088286221027374,0.1136176586151123
43,6,1,0.0646839365363121,0.0064120483584702015,0.04988396540284157,0.0038332371041178703,0.003702165326103568,0.022529587149620056
44,6,2,0.4417947232723236,0.19725793600082397,0.32562336325645447,0.10664472728967667,0.04655000939965248,0.10066360980272293
45,6,3,0.10615627467632294,0.01328712422400713,0.08077386766672134,0.0075545534491539,0.0021205972880125046,0.018410081043839455
46,6,4,0.3074404299259186,0.10228651016950607,0.2036292999982834,0.04472142085433006,0.016992788761854172,0.05437672510743141
47,6,5,0.6395336389541626,0.4169416129589081,0.46108412742614746,0.21526767313480377,0.09450847655534744,0.13867707550525665
