index,var_row,var_col,precision_abs_mean,precision_square_mean,cond_correlation_abs_mean,cond_correlation_square_mean,kld,iae
7,1,0,0.07770638167858124,0.008809777908027172,0.05134345218539238,0.003844369435682893,0.0037618414498865604,0.02398710884153843
14,2,0,0.09538301825523376,0.01597975380718708,0.06284252554178238,0.006623013410717249,0.006505179218947887,0.037755560129880905
15,2,1,0.1479983627796173,0.02868449129164219,0.11834827810525894,0.017665613442659378,0.012397781014442444,0.041397497057914734
21,3,0,1.2890360355377197,1.7686482667922974,0.5655583739280701,0.3254774808883667,0.2661806643009186,0.20180070400238037
22,3,1,0.5231975317001343,0.29378995299339294,0.28550946712493896,0.08840952068567276,0.05306917428970337,0.09504704922437668
23,3,2,0.41304725408554077,0.2733975350856781,0.22465679049491882,0.0769016221165657,0.10679174214601517,0.11453697085380554
28,4,0,0.16808737814426422,0.039228226989507675,0.10357099771499634,0.014724704436957836,0.008778517134487629,0.03533216565847397
29,4,1,0.26960429549217224,0.0888429805636406,0.20834966003894806,0.056142907589673996,0.050461262464523315,0.08258266001939774
30,4,2,0.13629133999347687,0.025646746158599854,0.10218962281942368,0.014133560471236706,0.011529558338224888,0.03860335424542427
31,4,3,0.781346321105957,0.6971430778503418,0.38012444972991943,0.15548378229141235,0.08253945410251617,0.11905132979154587
35,5,0,1.6879929304122925,3.3091530799865723,0.7150651812553406,0.5213122963905334,0.529110312461853,0.25723618268966675
36,5,1,0.08777723461389542,0.010341528803110123,0.05096346512436867,0.0036756142508238554,0.006544715724885464,0.029639167711138725
37,5,2,0.14342643320560455,0.037001386284828186,0.07702776789665222,0.009638754650950432,0.02100931853055954,0.05691920593380928
38,5,3,1.7779583930969238,4.207436561584473,0.5885594487190247,0.37519964575767517,0.49345436692237854,0.2212211787700653
39,5,4,0.11828125268220901,0.02503410540521145,0.06271480768918991,0.006955035496503115,0.013025944121181965,0.04232115298509598
42,6,0,0.12830504775047302,0.025565311312675476,0.058591343462467194,0.005525389686226845,0.005975350271910429,0.031605158001184464
43,6,1,0.12170695513486862,0.01963004283607006,0.0662735104560852,0.005913750268518925,0.007320813834667206,0.033072330057621
44,6,2,0.8296736478805542,0.6999678611755371,0.46720248460769653,0.2230619639158249,0.1408638060092926,0.13927961885929108
45,6,3,0.604538083076477,0.4292415976524353,0.2213858664035797,0.05671530216932297,0.04274016618728638,0.08751049637794495
46,6,4,1.0957070589065552,1.3890724182128906,0.5369110107421875,0.3157327175140381,0.21264071762561798,0.1780080646276474
47,6,5,0.8384255766868591,0.8015130162239075,0.3171156346797943,0.11348724365234375,0.09015703201293945,0.12397199869155884
