index,var_row,var_col,precision_abs_mean,precision_square_mean,cond_correlation_abs_mean,cond_correlation_square_mean,kld,iae
5,1,0,0.05625150725245476,0.004896460101008415,0.03189270943403244,0.0015695261536166072,0.0019947809632867575,0.016790371388196945
10,2,0,0.07480353862047195,0.007952558808028698,0.05091368034482002,0.003796682693064213,0.003925494384020567,0.022223137319087982
11,2,1,0.6905725002288818,0.48288071155548096,0.4814152419567108,0.23416882753372192,0.1219867616891861,0.14233602583408356
15,3,0,1.6164733171463013,2.652982711791992,0.7263296246528625,0.5289748311042786,0.30557820200920105,0.23635539412498474
16,3,1,0.8073853850364685,0.6814647316932678,0.3805250823497772,0.1498262882232666,0.08074073493480682,0.1177881583571434
17,3,2,0.10376818478107452,0.013320408761501312,0.05976186692714691,0.004646042361855507,0.0038511373568326235,0.021482031792402267
20,4,0,1.107293963432312,1.237870693206787,0.5250888466835022,0.2769024968147278,0.1358531415462494,0.15959522128105164
21,4,1,1.2918570041656494,1.683814287185669,0.6413543820381165,0.41262128949165344,0.2596079409122467,0.20605777204036713
22,4,2,0.678500771522522,0.4635666608810425,0.3962322175502777,0.1576474905014038,0.07692428678274155,0.11884860694408417
23,4,3,2.0126466751098633,4.120046138763428,0.7919312715530396,0.6275996565818787,0.47768479585647583,0.2673690617084503
