index,var_row,var_col,precision_abs_mean,precision_square_mean,cond_correlation_abs_mean,cond_correlation_square_mean,kld,iae
5,1,0,0.28279292583465576,0.08208360522985458,0.23791083693504333,0.058263037353754044,0.03116900473833084,0.07467447966337204
10,2,0,0.05825302004814148,0.005081979092210531,0.049673471599817276,0.003653897438198328,0.0008659615414217114,0.018908951431512833
11,2,1,0.1523589938879013,0.025198202580213547,0.12627722322940826,0.017422346398234367,0.010158081538975239,0.036859508603811264
15,3,0,0.3416091203689575,0.1179845854640007,0.2506412863731384,0.0635094866156578,0.03414912521839142,0.07732053101062775
16,3,1,0.13263064622879028,0.02731567993760109,0.09276799857616425,0.013200105167925358,0.014249617233872414,0.04298848286271095
17,3,2,0.5402729511260986,0.3088496923446655,0.3871631920337677,0.15710268914699554,0.08627181500196457,0.12366577237844467
20,4,0,0.04234645888209343,0.0023373737931251526,0.034699760377407074,0.0015722252428531647,-0.0007811854011379182,0.011962339282035828
21,4,1,0.4070882499217987,0.1669602245092392,0.32086700201034546,0.10388132184743881,0.04884590581059456,0.09982447326183319
22,4,2,0.0585310235619545,0.003875731723383069,0.047516755759716034,0.0025800459552556276,0.0018902007723227143,0.014106472954154015
23,4,3,0.7520977258682251,0.5693328976631165,0.5164750814437866,0.267634779214859,0.11549905687570572,0.16173748672008514
