index,var_row,var_col,precision_abs_mean,precision_square_mean,cond_correlation_abs_mean,cond_correlation_square_mean,kld,iae
5,1,0,0.05302293226122856,0.004165175836533308,0.040395721793174744,0.002408805536106229,0.0030626440420746803,0.0164999607950449
10,2,0,0.4447939991950989,0.20037458837032318,0.3569203019142151,0.12836231291294098,0.06359843909740448,0.10625945776700974
11,2,1,0.3268093466758728,0.1097518652677536,0.2547253966331482,0.06645643711090088,0.03593431040644646,0.07174428552389145
15,3,0,0.11154098808765411,0.01761818490922451,0.07553040981292725,0.007718574721366167,0.002718477277085185,0.024026433005928993
16,3,1,0.37063080072402954,0.23338496685028076,0.2364092469215393,0.08619855344295502,0.07197853922843933,0.09788518399000168
17,3,2,0.12258511036634445,0.022324318066239357,0.08691740781068802,0.011041401885449886,0.008258608169853687,0.0395086407661438
20,4,0,0.9271597862243652,0.8697000741958618,0.5570905208587646,0.31181374192237854,0.16644620895385742,0.1716918647289276
21,4,1,0.4139886796474457,0.22673994302749634,0.24532534182071686,0.08009849488735199,0.045173898339271545,0.08495250344276428
22,4,2,0.5981432795524597,0.3728838562965393,0.3652029037475586,0.1382591426372528,0.059488218277692795,0.11598803848028183
23,4,3,1.0447323322296143,1.1222193241119385,0.5553759336471558,0.3110939562320709,0.1915963739156723,0.1837114542722702
