index,var_row,var_col,precision_abs_mean,precision_square_mean,cond_correlation_abs_mean,cond_correlation_square_mean,kld,iae
7,1,0,0.04866454005241394,0.0035264738835394382,0.03910480812191963,0.002293478697538376,0.0010673198848962784,0.016027797013521194
14,2,0,0.271403968334198,0.12896738946437836,0.12468618154525757,0.025234302505850792,0.036475472152233124,0.058097898960113525
15,2,1,0.44348740577697754,0.20884445309638977,0.2428358644247055,0.0628219023346901,0.0339239239692688,0.06753718852996826
21,3,0,0.1082402691245079,0.015520678833127022,0.07492232322692871,0.0071484800428152084,0.003005041740834713,0.026296649128198624
22,3,1,0.06953943520784378,0.007478486746549606,0.055764637887477875,0.004744454752653837,0.003576451214030385,0.021603597328066826
23,3,2,0.8127842545509338,0.7214847207069397,0.3880505859851837,0.15856030583381653,0.1191478967666626,0.14162953197956085
28,4,0,0.0596148744225502,0.005046064965426922,0.036287397146224976,0.0018460090504959226,0.002965186256915331,0.019612407311797142
29,4,1,0.08105072379112244,0.008622444234788418,0.056638121604919434,0.004252654500305653,0.001775117707438767,0.019468309357762337
30,4,2,1.5086376667022705,2.348121404647827,0.6297827363014221,0.40253978967666626,0.3585141897201538,0.22348175942897797
31,4,3,0.06316833198070526,0.005629382096230984,0.03975773975253105,0.0022545310202986,0.0031960175838321447,0.019796403124928474
35,5,0,0.8041561245918274,0.6558290123939514,0.4487091302871704,0.20549000799655914,0.10851766169071198,0.1351802945137024
36,5,1,0.4593750834465027,0.21646423637866974,0.28714507818222046,0.08391710370779037,0.041934795677661896,0.08899053186178207
37,5,2,0.4286743700504303,0.24638906121253967,0.1607285439968109,0.034001585096120834,0.03181332349777222,0.07672829180955887
38,5,3,0.8373541235923767,0.7747316360473633,0.4582420885562897,0.22166858613491058,0.1431155800819397,0.14688913524150848
39,5,4,0.5841051340103149,0.37049371004104614,0.2822220027446747,0.08641298860311508,0.06061546131968498,0.09795217216014862
42,6,0,0.05550120770931244,0.004070468246936798,0.03916339576244354,0.0020252778194844723,0.001368544646538794,0.014810556545853615
43,6,1,0.06922129541635513,0.006605247501283884,0.05505917966365814,0.004141503479331732,0.0016735339304432273,0.016099678352475166
44,6,2,1.3892905712127686,1.9574464559555054,0.6740118861198425,0.4569269120693207,0.34275534749031067,0.23151132464408875
45,6,3,0.053254224359989166,0.004773103166371584,0.03723016753792763,0.0021966900676488876,0.0010470388224348426,0.01859847828745842
46,6,4,0.8232625722885132,0.6939616203308105,0.5076429843902588,0.26275452971458435,0.18883633613586426,0.1762288510799408
47,6,5,0.1317625641822815,0.026314107701182365,0.07337677478790283,0.00810267124325037,0.008442816324532032,0.0331340990960598
