index,var_row,var_col,precision_abs_mean,precision_square_mean,cond_correlation_abs_mean,cond_correlation_square_mean,kld,iae
7,1,0,0.21741846203804016,0.05333148315548897,0.13894116878509521,0.022190844640135765,0.01494827400892973,0.04321901127696037
14,2,0,0.9429759979248047,0.954761803150177,0.42788782715797424,0.1905834823846817,0.10616613179445267,0.13101314008235931
15,2,1,0.8191245198249817,0.6782481670379639,0.39860525727272034,0.16164110600948334,0.08899231255054474,0.12962298095226288
21,3,0,0.03249860554933548,0.0013457760214805603,0.02331966534256935,0.0007128500146791339,0.00034874153789132833,0.01039027702063322
22,3,1,0.05058952793478966,0.0033634379506111145,0.0371442511677742,0.0018031307263299823,0.0018762964755296707,0.014505820348858833
23,3,2,0.8482699394226074,0.7440020442008972,0.45697230100631714,0.21222516894340515,0.13750435411930084,0.1492667943239212
28,4,0,0.06260348856449127,0.005941713694483042,0.042485032230615616,0.002705204766243696,0.0008420309168286622,0.020497821271419525
29,4,1,0.06741257756948471,0.005887394305318594,0.04817027598619461,0.002993329893797636,0.0007537237834185362,0.0153266042470932
30,4,2,0.29032987356185913,0.11402826011180878,0.15012559294700623,0.029626846313476562,0.029060302302241325,0.06323930621147156
31,4,3,0.05173696205019951,0.0031755061354488134,0.042441342025995255,0.002186891855672002,0.002358650090172887,0.012929650954902172
35,5,0,0.7249950170516968,0.5650789737701416,0.3741331398487091,0.14393143355846405,0.08325298875570297,0.1236111968755722
36,5,1,1.047654628753662,1.118868112564087,0.5755882859230042,0.33212384581565857,0.19308015704154968,0.18038058280944824
37,5,2,1.898964285850525,3.6685969829559326,0.7702913880348206,0.5957245826721191,0.3947790861129761,0.24972209334373474
38,5,3,0.36989453434944153,0.1416454315185547,0.22833622992038727,0.05320816487073898,0.03326167166233063,0.07408229261636734
39,5,4,0.3520016372203827,0.13313917815685272,0.20847088098526,0.044963013380765915,0.024582182988524437,0.06969503313302994
42,6,0,0.31132930517196655,0.10117769986391068,0.23337888717651367,0.056510888040065765,0.02182278223335743,0.06402099877595901
43,6,1,0.0381552018225193,0.002014456083998084,0.03063490241765976,0.0013262492138892412,0.0010138055076822639,0.01028449647128582
44,6,2,0.2707163393497467,0.07565976679325104,0.15832170844078064,0.02605488896369934,0.01147178839892149,0.049176134169101715
45,6,3,0.04045979678630829,0.001736028236337006,0.03590599074959755,0.0013690757332369685,0.00043913195258937776,0.010830274783074856
46,6,4,0.043629806488752365,0.001968282973393798,0.03772114962339401,0.0014760737540200353,0.0009209890267811716,0.012391000054776669
47,6,5,0.06616898626089096,0.005475829355418682,0.04412255063652992,0.002437852555885911,-2.4027198378462344e-05,0.013108341954648495
