index,var_row,var_col,precision_abs_mean,precision_square_mean,cond_correlation_abs_mean,cond_correlation_square_mean,kld,iae
7,1,0,0.6893776059150696,0.5321047306060791,0.4274182617664337,0.2000158429145813,0.10797924548387527,0.13051480054855347
14,2,0,0.06758695095777512,0.0066980598494410515,0.04992389678955078,0.0035320399329066277,0.0016664210706949234,0.024281702935695648
15,2,1,0.6442695260047913,0.41858309507369995,0.4186064600944519,0.1769222766160965,0.07743068784475327,0.12164432555437088
21,3,0,0.040467895567417145,0.0024012220092117786,0.030660362914204597,0.0013984089018777013,0.0014660204760730267,0.015383899211883545
22,3,1,0.3554675579071045,0.13351695239543915,0.22745949029922485,0.05387281998991966,0.03019663505256176,0.07336732745170593
23,3,2,0.060468610376119614,0.0051518152467906475,0.04718257859349251,0.0031923733185976744,0.002065899781882763,0.02151307463645935
28,4,0,0.04353827238082886,0.003217939753085375,0.027861464768648148,0.001284256810322404,0.0019166229758411646,0.015303374268114567
29,4,1,0.17196603119373322,0.03649749979376793,0.09245017915964127,0.010288389399647713,0.004670791793614626,0.027671508491039276
30,4,2,0.5836266875267029,0.35020750761032104,0.38412848114967346,0.1505272388458252,0.0689091756939888,0.1142377108335495
31,4,3,0.7772738337516785,0.6112075448036194,0.5095068216323853,0.262084424495697,0.12934547662734985,0.1554756611585617
35,5,0,0.4766041040420532,0.23096349835395813,0.3478005826473236,0.12187326699495316,0.05595497041940689,0.1049676239490509
36,5,1,0.12136926501989365,0.017473183572292328,0.07572729885578156,0.006723590195178986,0.004445958416908979,0.024810701608657837
37,5,2,0.0808316096663475,0.007799800019711256,0.06051207333803177,0.004312321078032255,-0.0006435132818296552,0.015878789126873016
38,5,3,0.05060139298439026,0.004010135307908058,0.038206327706575394,0.0023057307116687298,-8.728668035473675e-05,0.018723610788583755
39,5,4,0.6404086947441101,0.4442594349384308,0.40346676111221313,0.17000454664230347,0.10726563632488251,0.13598783314228058
42,6,0,0.05210203304886818,0.0038867450784891844,0.037026844918727875,0.0018970067612826824,0.00012615416198968887,0.01290862075984478
43,6,1,0.7876404523849487,0.7016642689704895,0.48040634393692017,0.25154632329940796,0.17393670976161957,0.15134741365909576
44,6,2,0.02699151635169983,0.0009917683200910687,0.020176807418465614,0.000553201709408313,0.0005013154004700482,0.007946409285068512
45,6,3,0.09962107241153717,0.011163556016981602,0.0738510712981224,0.006121226120740175,0.0037713306955993176,0.022127868607640266
46,6,4,0.4155218303203583,0.1762147843837738,0.26372385025024414,0.07084184139966965,0.03429257497191429,0.0777679830789566
47,6,5,0.02439018338918686,0.0008692453266121447,0.01775704137980938,0.0004616488004103303,0.00011700062168529257,0.010212176479399204
